Gender,Income,HS_percent,HS_Stream,PCM_markp,Entrance_mark,Quota,Dist,s2c1i,s2c1a,s2c1
M,120000,91,state,93,72,MRT,THRISSUR,29,76,C
F,100000,69,cbsc,67,54,MGT,PALAKKAD,35,76,B+
M,50000,73,state,72,91,MRT,THRISSUR,24,85,F
M,300000,92,cbsc,92,325,MRT,THRISSUR,45,93,B+
M,320000,81,cbsc,61,219,MGT,THRISSUR,45,87,A+
M,250000,79,cbsc,65,140,MGT,THRISSUR,33,87,B
M,45000,63,cbsc,90,50,MGT,THRISSUR,12,85,F
M,150000,72,cbsc,80,156,MGT,THRISSUR,25,85,F
F,168000,74,state,74,33,MGT,THRISSUR,27,80,F
M,120000,83,state,49,74,MGT,THRISSUR,23,76,F
M,345000,83,state,70,100,MGT,THRISSUR,45,83,B+
M,36000,69,state,69,78,MRT,THRISSUR,19,80,F
M,36000,77,state,76,161,MRT,THRISSUR,46,91,F
M,32000,86,state,75,92,MRT,THRISSUR,34,98,C
M,85000,59,state,58,108,NRI,THRISSUR,18,83,F
F,305028,91,state,74,109,MRT,THRISSUR,39,93,F
F,36000,75,state,88,120,MRT,THRISSUR,41,83,B
M,500000,91,state,50,75,MRT,THRISSUR,42,83,B+
M,500000,70,cbsc,90,105,MGT,THRISSUR,34,80,F
M,60000,96,state,69,303,MRT,THRISSUR,48,98,O
F,36000,83,state,93,63,MGT,THRISSUR,28,95,A
F,600000,87,state,63,92,MRT,THRISSUR,33,96,F
F,200000,87,cbsc,97,180,MRT,THRISSUR,38,80,B+
F,84000,92,state,82,190,MRT,THRISSUR,37,76,B+
F,105000,83,state,84,98,MGT,THRISSUR,36,91,B
M,129263,89,state,83,84,MRT,THRISSUR,45,98,A
M,30000,78,state,93,40,MRT,THRISSUR,27,100,F
F,36000,68,state,79,22,MRT,THRISSUR,27,78,F
F,130000,86,state,89,51,MGT,THRISSUR,35,91,C
F,60000,92,state,71,165,MRT,KOZHIKODE,30,83,C
F,800000,68,cbsc,59,92,MGT,KOZHIKODE,35,85,B
F,0,84,state,81,72,MGT,MALAPPURAM,30,89,F
M,30000,66,state,91,68,MRT,THRISSUR,35,87,F
F,300000,68,cbsc,57,47,MGT,KOZHIKODE,40,87,B
M,241500,83,state,80,47,MGT,THRISSUR,28,93,F
M,450000,59,cbsc,66,34,MRT,THRISSUR,18,67,F
F,241300,90,state,63,62,MRT,THRISSUR,30,89,C
F,1400000,82,state,79,78,MGT,ALAPPUZHA,37,98,B
M,159000,91,state,54,216,MRT,THRISSUR,32,96,B
F,300000,95,state,88,209,MRT,THRISSUR,37,78,B
M,313716,76,cbsc,74,44,MRT,THRISSUR,33,85,C
F,78000,92,state,93,89,MRT,THRISSUR,45,91,A
F,175000,83,cbsc,95,133,MGT,THRISSUR,38,91,A
F,60000,69,state,67,109,NRI,THRISSUR,27,96,F
F,48000,75,state,89,109,MGT,THRISSUR,39,89,B
M,180000,68,state,77,326,MGT,THRISSUR,25,91,F
F,24000,83,state,62,41,MRT,THRISSUR,37,80,F
M,800000,86,cbsc,68,388,MRT,THRISSUR,45,93,B+
F,27000,84,state,63,203,MRT,THRISSUR,44,76,B
F,400000,94,state,80,101,MRT,THRISSUR,41,100,B+
F,300000,71,cbsc,85,85,MGT,THRISSUR,38,80,B
F,240000,83,cbsc,78,80,MGT,PALAKKAD,43,98,B+
M,480000,86,state,94,195,MRT,THRISSUR,36,100,B
F,120000,75,state,64,50,MRT,THRISSUR,40,96,C
F,550000,91,cbsc,78,274,MRT,THRISSUR,41,83,A+
F,1000000,91,state,84,106,MRT,THRISSUR,35,89,B
F,1200000,63,state,65,109,NRI,THRISSUR,29,98,F
F,96000,98,state,91,157,MGT,THRISSUR,40,95,A
F,36000,91,state,88,102,MRT,THRISSUR,39,91,A
M,515568,67,cbsc,55,140,MRT,THRISSUR,27,88,P
