Gender,Income,HS_percent,HS_Stream,PCM_markp,Entrance_mark,Quota,Dist,s2c6i,s2c6a,s2c6
M,120000,91,state,93,72,MRT,THRISSUR,28,78,B
F,100000,69,cbsc,67,54,MGT,PALAKKAD,31,86,B
M,50000,73,state,72,91,MRT,THRISSUR,30,88,C
M,300000,92,cbsc,92,325,MRT,THRISSUR,42,96,A
M,320000,81,cbsc,61,219,MGT,THRISSUR,35,90,B
M,250000,79,cbsc,65,140,MGT,THRISSUR,37,96,B+
M,45000,63,cbsc,90,50,MGT,THRISSUR,23,92,F
M,150000,72,cbsc,80,156,MGT,THRISSUR,27,92,C
F,168000,74,state,74,33,MGT,THRISSUR,23,76,F
M,120000,83,state,49,74,MGT,THRISSUR,24,86,P
M,345000,83,state,70,100,MGT,THRISSUR,23,94,F
M,36000,69,state,69,78,MRT,THRISSUR,23,82,F
M,36000,77,state,76,161,MRT,THRISSUR,32,98,C
M,32000,86,state,75,92,MRT,THRISSUR,27,94,C
M,85000,59,state,58,108,NRI,THRISSUR,23,96,F
F,305028,91,state,74,109,MRT,THRISSUR,36,96,B
F,36000,75,state,88,120,MRT,THRISSUR,33,94,B+
M,500000,91,state,50,75,MRT,THRISSUR,39,94,B+
M,500000,70,cbsc,90,105,MGT,THRISSUR,23,90,C
M,60000,96,state,69,303,MRT,THRISSUR,46,96,O
F,36000,83,state,93,63,MGT,THRISSUR,36,94,B
F,600000,87,state,63,92,MRT,THRISSUR,27,98,C
F,200000,87,cbsc,97,180,MRT,THRISSUR,33,82,B+
F,84000,92,state,82,190,MRT,THRISSUR,30,90,B
F,105000,83,state,84,98,MGT,THRISSUR,35,98,A
M,129263,89,state,83,84,MRT,THRISSUR,37,92,B+
M,30000,78,state,93,40,MRT,THRISSUR,30,98,B+
F,36000,68,state,79,22,MRT,THRISSUR,25,94,F
F,130000,86,state,89,51,MGT,THRISSUR,32,92,B
F,60000,92,state,71,165,MRT,KOZHIKODE,27,90,B
F,800000,68,cbsc,59,92,MGT,KOZHIKODE,29,84,C
F,0,84,state,81,72,MGT,MALAPPURAM,27,96,C
