Gender,Income,HS_percent,HS_Stream,PCM_markp,Entrance_mark,Quota,Dist,s2c4i,s2c4a,s2c4
M,120000,91,state,93,72,MRT,THRISSUR,53,77,C
F,100000,69,cbsc,67,54,MGT,PALAKKAD,67,84,B
M,50000,73,state,72,91,MRT,THRISSUR,56,77,C
M,300000,92,cbsc,92,325,MRT,THRISSUR,81,95,B+
M,320000,81,cbsc,61,219,MGT,THRISSUR,58,86,C
M,250000,79,cbsc,65,140,MGT,THRISSUR,71,93,B
M,45000,63,cbsc,90,50,MGT,THRISSUR,49,89,F
M,150000,72,cbsc,80,156,MGT,THRISSUR,58,80,B
F,168000,74,state,74,33,MGT,THRISSUR,63,84,C
M,120000,83,state,49,74,MGT,THRISSUR,54,84,C
M,345000,83,state,70,100,MGT,THRISSUR,64,84,C
M,36000,69,state,69,78,MRT,THRISSUR,51,82,C
M,36000,77,state,76,161,MRT,THRISSUR,83,100,B
M,32000,86,state,75,92,MRT,THRISSUR,70,93,B
M,85000,59,state,58,108,NRI,THRISSUR,63,93,C
F,305028,91,state,74,109,MRT,THRISSUR,70,86,B
F,36000,75,state,88,120,MRT,THRISSUR,55,86,C
M,500000,91,state,50,75,MRT,THRISSUR,81,91,B+
M,500000,70,cbsc,90,105,MGT,THRISSUR,57,82,B
M,60000,96,state,69,303,MRT,THRISSUR,87,98,A+
F,36000,83,state,93,63,MGT,THRISSUR,41,90,B+
F,600000,87,state,63,92,MRT,THRISSUR,66,95,B
F,200000,87,cbsc,97,180,MRT,THRISSUR,57,82,C
F,84000,92,state,82,190,MRT,THRISSUR,63,86,B
F,105000,83,state,84,98,MGT,THRISSUR,65,91,B
M,129263,89,state,83,84,MRT,THRISSUR,82,100,B+
M,30000,78,state,93,40,MRT,THRISSUR,47,95,C
F,36000,68,state,79,22,MRT,THRISSUR,63,86,C
F,130000,86,state,89,51,MGT,THRISSUR,47,93,P
F,60000,92,state,71,165,MRT,KOZHIKODE,70,91,B+
F,800000,68,cbsc,59,92,MGT,KOZHIKODE,61,82,B
F,0,84,state,81,72,MGT,MALAPPURAM,48,93,P
M,30000,66,state,91,68,MRT,THRISSUR,48,91,P
F,300000,68,cbsc,57,47,MGT,KOZHIKODE,77,91,B
M,241500,83,state,80,47,MGT,THRISSUR,62,89,B
M,450000,59,cbsc,66,34,MRT,THRISSUR,77,68,B+
F,241300,90,state,63,62,MRT,THRISSUR,61,91,C
F,1400000,82,state,79,78,MGT,ALAPPUZHA,62,98,B
M,159000,91,state,54,216,MRT,THRISSUR,55,86,C
F,300000,95,state,88,209,MRT,THRISSUR,73,82,B+
M,313716,76,cbsc,74,44,MRT,THRISSUR,50,82,C
F,78000,92,state,93,89,MRT,THRISSUR,71,95,B+
F,175000,83,cbsc,95,133,MGT,THRISSUR,67,91,B
F,60000,69,state,67,109,NRI,THRISSUR,52,93,C
F,48000,75,state,89,109,MGT,THRISSUR,65,98,B
M,180000,68,state,77,326,MGT,THRISSUR,54,91,C
F,24000,83,state,62,41,MRT,THRISSUR,56,80,C
M,800000,86,cbsc,68,388,MRT,THRISSUR,87,91,A
F,27000,84,state,63,203,MRT,THRISSUR,63,86,B
F,400000,94,state,80,101,MRT,THRISSUR,72,98,B
F,300000,71,cbsc,85,85,MGT,THRISSUR,62,86,C
F,240000,83,cbsc,78,80,MGT,PALAKKAD,62,100,C
M,480000,86,state,94,195,MRT,THRISSUR,68,98,B
F,120000,75,state,64,50,MRT,THRISSUR,49,98,C
F,550000,91,cbsc,78,274,MRT,THRISSUR,68,84,B
F,1000000,91,state,84,106,MRT,THRISSUR,64,84,B
F,1200000,63,state,65,109,NRI,THRISSUR,55,100,C
F,96000,98,state,91,157,MGT,THRISSUR,50,95,A
F,36000,91,state,88,102,MRT,THRISSUR,43,91,B+
M,515568,67,cbsc,55,140,MRT,THRISSUR,44,88,A
M,80000,86,state,98,116,MRT,THRISSUR,47,92,B+
M,60000,73,cbsc,95,196,MRT,THRISSUR,45,85,B+
M,70000,85,state,60,63,MRT,THRISSUR,39,91,B+
M,24000,66,state,81,6,MRT,THRISSUR,34,100,C
F,150000,95,state,65,121,MRT,THRISSUR,45,99,A
F,36000,65,state,79,60,MGT,THRISSUR,33,75,B
F,42000,83,state,54,81,MGT,THRISSUR,43,99,B+
M,205000,83,state,97,148,MRT,PALAKKAD,52,93,A+
M,25000,74,state,52,109,NRI,THRISSUR,32,79,C
M,108000,65,cbsc,80,60,MGT,PALAKKAD,37,93,B+
F,24000,89,state,75,79,MRT,THRISSUR,38,95,B
