Gender,Income,HS_percent,HS_Stream,PCM_markp,Entrance_mark,Quota,Dist,s2c3i,s2c3a,s2c3
M,120000,91,state,93,72,MRT,THRISSUR,45,76,P
F,100000,69,cbsc,67,54,MGT,PALAKKAD,45,81,P
M,50000,73,state,72,91,MRT,THRISSUR,77,85,B+
M,300000,92,cbsc,92,325,MRT,THRISSUR,77,92,B+
M,320000,81,cbsc,61,219,MGT,THRISSUR,68,90,B+
M,250000,79,cbsc,65,140,MGT,THRISSUR,63,91,B
M,45000,63,cbsc,90,50,MGT,THRISSUR,35,79,F
M,150000,72,cbsc,80,156,MGT,THRISSUR,46,90,C
F,168000,74,state,74,33,MGT,THRISSUR,45,91,P
M,120000,83,state,49,74,MGT,THRISSUR,62,83,B+
M,345000,83,state,70,100,MGT,THRISSUR,69,90,B+
M,36000,69,state,69,78,MRT,THRISSUR,56,85,C
M,36000,77,state,76,161,MRT,THRISSUR,68,100,B
M,32000,86,state,75,92,MRT,THRISSUR,53,97,C
M,85000,59,state,58,108,NRI,THRISSUR,46,95,C
F,305028,91,state,74,109,MRT,THRISSUR,45,96,C
F,36000,75,state,88,120,MRT,THRISSUR,45,95,P
M,500000,91,state,50,75,MRT,THRISSUR,45,96,C
M,500000,70,cbsc,90,105,MGT,THRISSUR,64,88,B+
M,60000,96,state,69,303,MRT,THRISSUR,89,96,O
F,36000,83,state,93,63,MGT,THRISSUR,31,97,B
F,600000,87,state,63,92,MRT,THRISSUR,35,97,F
F,200000,87,cbsc,97,180,MRT,THRISSUR,45,77,P
F,84000,92,state,82,190,MRT,THRISSUR,81,78,B+
F,105000,83,state,84,98,MGT,THRISSUR,45,95,C
M,129263,89,state,83,84,MRT,THRISSUR,74,97,B+
M,30000,78,state,93,40,MRT,THRISSUR,45,96,C
F,36000,68,state,79,22,MRT,THRISSUR,35,86,F
F,130000,86,state,89,51,MGT,THRISSUR,45,90,P
F,60000,92,state,71,165,MRT,KOZHIKODE,35,82,F
F,800000,68,cbsc,59,92,MGT,KOZHIKODE,45,87,P
F,0,84,state,81,72,MGT,MALAPPURAM,35,91,F
M,30000,66,state,91,68,MRT,THRISSUR,45,95,P
F,300000,68,cbsc,57,47,MGT,KOZHIKODE,45,94,C
M,241500,83,state,80,47,MGT,THRISSUR,45,94,C
M,450000,59,cbsc,66,34,MRT,THRISSUR,35,71,F
F,241300,90,state,63,62,MRT,THRISSUR,49,95,C
F,1400000,82,state,79,78,MGT,ALAPPUZHA,50,100,C
M,159000,91,state,54,216,MRT,THRISSUR,75,92,B+
F,300000,95,state,88,209,MRT,THRISSUR,66,83,B
M,313716,76,cbsc,74,44,MRT,THRISSUR,35,90,F
F,78000,92,state,93,89,MRT,THRISSUR,97,96,O
F,175000,83,cbsc,95,133,MGT,THRISSUR,61,83,B+
F,60000,69,state,67,109,NRI,THRISSUR,52,95,F
F,48000,75,state,89,109,MGT,THRISSUR,45,92,P
M,180000,68,state,77,326,MGT,THRISSUR,45,91,C
F,24000,83,state,62,41,MRT,THRISSUR,45,82,C
M,800000,86,cbsc,68,388,MRT,THRISSUR,99,96,O
F,27000,84,state,63,203,MRT,THRISSUR,65,90,B
F,400000,94,state,80,101,MRT,THRISSUR,53,96,C
F,300000,71,cbsc,85,85,MGT,THRISSUR,45,82,P
F,240000,83,cbsc,78,80,MGT,PALAKKAD,52,100,C
M,480000,86,state,94,195,MRT,THRISSUR,45,96,C
F,120000,75,state,64,50,MRT,THRISSUR,45,99,F
F,550000,91,cbsc,78,274,MRT,THRISSUR,73,87,A
F,1000000,91,state,84,106,MRT,THRISSUR,45,86,F
F,1200000,63,state,65,109,NRI,THRISSUR,35,96,F
F,96000,98,state,91,157,MGT,THRISSUR,36,96,B+
F,36000,91,state,88,102,MRT,THRISSUR,35,95,O
M,515568,67,cbsc,55,140,MRT,THRISSUR,40,91,O
M,80000,86,state,98,116,MRT,THRISSUR,17,92,B+
M,60000,73,cbsc,95,196,MRT,THRISSUR,22,87,C
